"","penalty_fn","replicate","Assumption","variable","value"
"242","fixed","rep_42","Adjustment penalty","profits",233.111979787493
"243","fixed","rep_43","Adjustment penalty","profits",180.700850218256
"244","fixed","rep_44","Adjustment penalty","profits",116.546177510742
"245","fixed","rep_45","Adjustment penalty","profits",201.39079437008
"246","fixed","rep_46","Adjustment penalty","profits",230.321990631207
"247","fixed","rep_47","Adjustment penalty","profits",145.11521357556
"248","fixed","rep_48","Adjustment penalty","profits",224.633623683434
"249","fixed","rep_49","Adjustment penalty","profits",169.20058634199
"250","fixed","rep_50","Adjustment penalty","profits",142.985527868049
"251","fixed","rep_51","Adjustment penalty","profits",217.708878225249
"252","fixed","rep_52","Adjustment penalty","profits",162.741120106631
"253","fixed","rep_53","Adjustment penalty","profits",176.425824778226
"254","fixed","rep_54","Adjustment penalty","profits",202.201639389672
"255","fixed","rep_55","Adjustment penalty","profits",178.146374966116
"256","fixed","rep_56","Adjustment penalty","profits",185.070269251454
"257","fixed","rep_57","Adjustment penalty","profits",199.323155857959
"258","fixed","rep_58","Adjustment penalty","profits",165.628501419868
"259","fixed","rep_59","Adjustment penalty","profits",203.951339193985
"260","fixed","rep_60","Adjustment penalty","profits",176.98876480372
"261","fixed","rep_61","Adjustment penalty","profits",186.588272799457
"262","fixed","rep_62","Adjustment penalty","profits",197.799934241851
"263","fixed","rep_63","Adjustment penalty","profits",152.281685729088
"264","fixed","rep_64","Adjustment penalty","profits",156.248592848678
"265","fixed","rep_65","Adjustment penalty","profits",164.656017597768
"266","fixed","rep_66","Adjustment penalty","profits",151.408644038582
"267","fixed","rep_67","Adjustment penalty","profits",168.890400856951
"268","fixed","rep_68","Adjustment penalty","profits",185.132039028304
"269","fixed","rep_69","Adjustment penalty","profits",154.43812894223
"270","fixed","rep_70","Adjustment penalty","profits",150.119582439709
"271","fixed","rep_71","Adjustment penalty","profits",156.885404111277
"272","fixed","rep_72","Adjustment penalty","profits",201.639946995676
"273","fixed","rep_73","Adjustment penalty","profits",240.957398546295
"274","fixed","rep_74","Adjustment penalty","profits",138.661779734415
"275","fixed","rep_75","Adjustment penalty","profits",202.819911154161
"276","fixed","rep_76","Adjustment penalty","profits",160.215979978562
"277","fixed","rep_77","Adjustment penalty","profits",238.385306717192
"278","fixed","rep_78","Adjustment penalty","profits",129.280725442147
"279","fixed","rep_79","Adjustment penalty","profits",155.680568919241
"280","fixed","rep_80","Adjustment penalty","profits",161.879880986279
"281","fixed","rep_81","Adjustment penalty","profits",163.226853177931
"282","fixed","rep_82","Adjustment penalty","profits",168.936211499652
"283","fixed","rep_83","Adjustment penalty","profits",215.454669913424
"284","fixed","rep_84","Adjustment penalty","profits",167.972300471357
"285","fixed","rep_85","Adjustment penalty","profits",105.809269298882
"286","fixed","rep_86","Adjustment penalty","profits",188.841699065764
"287","fixed","rep_87","Adjustment penalty","profits",140.920944294691
"288","fixed","rep_88","Adjustment penalty","profits",205.817283321545
"289","fixed","rep_89","Adjustment penalty","profits",196.821752870001
"290","fixed","rep_90","Adjustment penalty","profits",236.647922591636
"291","fixed","rep_91","Adjustment penalty","profits",208.885279901846
"292","fixed","rep_92","Adjustment penalty","profits",145.250343781036
"293","fixed","rep_93","Adjustment penalty","profits",249.078008083218
"294","fixed","rep_94","Adjustment penalty","profits",130.190297220381
"295","fixed","rep_95","Adjustment penalty","profits",137.331552446192
"296","fixed","rep_96","Adjustment penalty","profits",196.951387105243
"297","fixed","rep_97","Adjustment penalty","profits",201.852175513964
"298","fixed","rep_98","Adjustment penalty","profits",162.185079242526
"299","fixed","rep_99","Adjustment penalty","profits",106.3554775774
"300","fixed","rep_100","Adjustment penalty","profits",186.363926113342
"301","L1","rep_1","Reed","profits",210.04745581449
"302","L1","rep_2","Reed","profits",217.334658697718
"303","L1","rep_3","Reed","profits",133.849973257102
"304","L1","rep_4","Reed","profits",249.013399112463
"305","L1","rep_5","Reed","profits",148.779362960726
"306","L1","rep_6","Reed","profits",206.987689638192
"307","L1","rep_7","Reed","profits",255.681948021522
"308","L1","rep_8","Reed","profits",139.98956197566
"309","L1","rep_9","Reed","profits",163.456802784985
"310","L1","rep_10","Reed","profits",159.495668786279
"311","L1","rep_11","Reed","profits",133.920449341723
"312","L1","rep_12","Reed","profits",131.610922161362
"313","L1","rep_13","Reed","profits",220.097520624763
"314","L1","rep_14","Reed","profits",310.58303643907
"315","L1","rep_15","Reed","profits",200.996151090676
"316","L1","rep_16","Reed","profits",226.648031307346
"317","L1","rep_17","Reed","profits",253.160772984042
"318","L1","rep_18","Reed","profits",193.894518945118
"319","L1","rep_19","Reed","profits",188.559309862507
"320","L1","rep_20","Reed","profits",169.535558190992
"321","L1","rep_21","Reed","profits",227.109403198546
"322","L1","rep_22","Reed","profits",238.322466759979
"323","L1","rep_23","Reed","profits",223.959844909886
"324","L1","rep_24","Reed","profits",153.760832489862
"325","L1","rep_25","Reed","profits",146.683804548714
"326","L1","rep_26","Reed","profits",224.119688429729
"327","L1","rep_27","Reed","profits",189.798100759725
"328","L1","rep_28","Reed","profits",180.656346356602
"329","L1","rep_29","Reed","profits",208.716117985863
"330","L1","rep_30","Reed","profits",160.278737087252
"331","L1","rep_31","Reed","profits",189.058434517975
