"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"222","fixed",24,"harvest.autocorrelation",-0.107466901197496,0,"autocor","harvest"
"223","L1",25,"harvest.autocorrelation",-0.0869303659739357,0,"autocor","harvest"
"224","L2",25,"harvest.autocorrelation",-0.139764010175412,0,"autocor","harvest"
"225","fixed",25,"harvest.autocorrelation",-0.230038881386768,0,"autocor","harvest"
"226","L1",26,"harvest.autocorrelation",-0.220867915705775,0,"autocor","harvest"
"227","L2",26,"harvest.autocorrelation",-0.21869667912182,0,"autocor","harvest"
"228","fixed",26,"harvest.autocorrelation",-0.294150709667609,0,"autocor","harvest"
"229","L1",27,"harvest.autocorrelation",-0.30740155544583,0,"autocor","harvest"
"230","L2",27,"harvest.autocorrelation",-0.348707650388194,0,"autocor","harvest"
"231","fixed",27,"harvest.autocorrelation",-0.0809814362626613,0,"autocor","harvest"
"232","L1",28,"harvest.autocorrelation",-0.269509324880607,0,"autocor","harvest"
"233","L2",28,"harvest.autocorrelation",-0.142728898880999,0,"autocor","harvest"
"234","fixed",28,"harvest.autocorrelation",-0.229153202757407,0,"autocor","harvest"
"235","L1",29,"harvest.autocorrelation",-0.225429108696512,0,"autocor","harvest"
"236","L2",29,"harvest.autocorrelation",-0.240505169538895,0,"autocor","harvest"
"237","fixed",29,"harvest.autocorrelation",-0.235658903243994,0,"autocor","harvest"
"238","L1",30,"harvest.autocorrelation",-0.175823784056573,0,"autocor","harvest"
"239","L2",30,"harvest.autocorrelation",-0.250436936106405,0,"autocor","harvest"
"240","fixed",30,"harvest.autocorrelation",-0.138888320647595,0,"autocor","harvest"
"241","L1",31,"harvest.autocorrelation",0.097069781946922,0,"autocor","harvest"
"242","L2",31,"harvest.autocorrelation",-0.125124067128405,0,"autocor","harvest"
"243","fixed",31,"harvest.autocorrelation",-0.0448712054571707,0,"autocor","harvest"
"244","L1",32,"harvest.autocorrelation",-0.345301757900463,0,"autocor","harvest"
"245","L2",32,"harvest.autocorrelation",-0.292606558586038,0,"autocor","harvest"
"246","fixed",32,"harvest.autocorrelation",-0.206524419524499,0,"autocor","harvest"
"247","L1",33,"harvest.autocorrelation",-0.163561047305304,0,"autocor","harvest"
"248","L2",33,"harvest.autocorrelation",-0.141657032240488,0,"autocor","harvest"
"249","fixed",33,"harvest.autocorrelation",-0.468251009132665,0,"autocor","harvest"
"250","L1",34,"harvest.autocorrelation",-0.255968291755502,0,"autocor","harvest"
"251","L2",34,"harvest.autocorrelation",-0.212960684359236,0,"autocor","harvest"
"252","fixed",34,"harvest.autocorrelation",-0.208214207597333,0,"autocor","harvest"
"253","L1",35,"harvest.autocorrelation",-0.319664514317081,0,"autocor","harvest"
"254","L2",35,"harvest.autocorrelation",-0.208049528751548,0,"autocor","harvest"
"255","fixed",35,"harvest.autocorrelation",-0.210228429620168,0,"autocor","harvest"
"256","L1",36,"harvest.autocorrelation",-0.19100172383374,0,"autocor","harvest"
"257","L2",36,"harvest.autocorrelation",-0.0431345090618777,0,"autocor","harvest"
"258","fixed",36,"harvest.autocorrelation",-0.0574884655975672,0,"autocor","harvest"
"259","L1",37,"harvest.autocorrelation",-0.19732505353092,0,"autocor","harvest"
"260","L2",37,"harvest.autocorrelation",-0.0818840617067631,0,"autocor","harvest"
"261","fixed",37,"harvest.autocorrelation",-0.237124909136507,0,"autocor","harvest"
"262","L1",38,"harvest.autocorrelation",-0.452480726992767,0,"autocor","harvest"
"263","L2",38,"harvest.autocorrelation",-0.0610234629274254,0,"autocor","harvest"
"264","fixed",38,"harvest.autocorrelation",0.0329606215410356,0,"autocor","harvest"
"265","L1",39,"harvest.autocorrelation",-0.245584252666536,0,"autocor","harvest"
"266","L2",39,"harvest.autocorrelation",-0.215172683072183,0,"autocor","harvest"
"267","fixed",39,"harvest.autocorrelation",-0.173564794962828,0,"autocor","harvest"
"268","L1",40,"harvest.autocorrelation",-0.255006776303493,0,"autocor","harvest"
"269","L2",40,"harvest.autocorrelation",-0.217388839213798,0,"autocor","harvest"
"270","fixed",40,"harvest.autocorrelation",-0.0991747101722921,0,"autocor","harvest"
"271","L1",41,"harvest.autocorrelation",-0.0993979095267968,0,"autocor","harvest"
"272","L2",41,"harvest.autocorrelation",-0.122051130797068,0,"autocor","harvest"
"273","fixed",41,"harvest.autocorrelation",-0.246675313965787,0,"autocor","harvest"
"274","L1",42,"harvest.autocorrelation",-0.305300453837974,0,"autocor","harvest"
"275","L2",42,"harvest.autocorrelation",-0.277821319704189,0,"autocor","harvest"
"276","fixed",42,"harvest.autocorrelation",-0.204135381474081,0,"autocor","harvest"
"277","L1",43,"harvest.autocorrelation",-0.112815360915953,0,"autocor","harvest"
"278","L2",43,"harvest.autocorrelation",-0.319507844044118,0,"autocor","harvest"
"279","fixed",43,"harvest.autocorrelation",-0.144306928279231,0,"autocor","harvest"
"280","L1",44,"harvest.autocorrelation",0.0574656326847783,0,"autocor","harvest"
"281","L2",44,"harvest.autocorrelation",-0.228370639096283,0,"autocor","harvest"
"282","fixed",44,"harvest.autocorrelation",-0.246477879687722,0,"autocor","harvest"
"283","L1",45,"harvest.autocorrelation",-0.115299999695806,0,"autocor","harvest"
"284","L2",45,"harvest.autocorrelation",-0.156356651695127,0,"autocor","harvest"
"285","fixed",45,"harvest.autocorrelation",-0.0427980279408955,0,"autocor","harvest"
"286","L1",46,"harvest.autocorrelation",-0.233879457981235,0,"autocor","harvest"
"287","L2",46,"harvest.autocorrelation",-0.283754405416607,0,"autocor","harvest"
"288","fixed",46,"harvest.autocorrelation",-0.261581072005606,0,"autocor","harvest"
"289","L1",47,"harvest.autocorrelation",-0.304388562927981,0,"autocor","harvest"
"290","L2",47,"harvest.autocorrelation",-0.199497734367047,0,"autocor","harvest"
"291","fixed",47,"harvest.autocorrelation",0.052893547910273,0,"autocor","harvest"
"292","L1",48,"harvest.autocorrelation",0.0107357194691796,0,"autocor","harvest"
"293","L2",48,"harvest.autocorrelation",-0.304927457834808,0,"autocor","harvest"
"294","fixed",48,"harvest.autocorrelation",-0.147211626643194,0,"autocor","harvest"
"295","L1",49,"harvest.autocorrelation",-0.155279812736837,0,"autocor","harvest"
"296","L2",49,"harvest.autocorrelation",-0.139029072757263,0,"autocor","harvest"
"297","fixed",49,"harvest.autocorrelation",-0.196130890313882,0,"autocor","harvest"
"298","L1",50,"harvest.autocorrelation",-0.0628990771576154,0,"autocor","harvest"
"299","L2",50,"harvest.autocorrelation",-0.154521260908623,0,"autocor","harvest"
