"","time","penalty_fn","replicate","variable","value","baseline"
"1403",3,"L2","rep_11","harvest",1.31448979591837,"penalty"
"1404",4,"L2","rep_11","harvest",0.173061224489796,"penalty"
"1405",5,"L2","rep_11","harvest",0.01,"penalty"
"1406",6,"L2","rep_11","harvest",0.82530612244898,"penalty"
"1407",7,"L2","rep_11","harvest",0.499183673469388,"penalty"
"1408",8,"L2","rep_11","harvest",1.64061224489796,"penalty"
"1409",9,"L2","rep_11","harvest",1.96673469387755,"penalty"
"1410",10,"L2","rep_11","harvest",1.47755102040816,"penalty"
"1411",11,"L2","rep_11","harvest",0.499183673469388,"penalty"
"1412",12,"L2","rep_11","harvest",0.173061224489796,"penalty"
"1413",13,"L2","rep_11","harvest",0.336122448979592,"penalty"
"1414",14,"L2","rep_11","harvest",0.01,"penalty"
"1415",15,"L2","rep_11","harvest",0.336122448979592,"penalty"
"1416",16,"L2","rep_11","harvest",0.173061224489796,"penalty"
"1417",17,"L2","rep_11","harvest",0.82530612244898,"penalty"
"1418",18,"L2","rep_11","harvest",1.47755102040816,"penalty"
"1419",19,"L2","rep_11","harvest",3.43428571428571,"penalty"
"1420",20,"L2","rep_11","harvest",0,"penalty"
"1421",1,"L2","rep_12","harvest",2.12979591836735,"penalty"
"1422",2,"L2","rep_12","harvest",0.988367346938776,"penalty"
"1423",3,"L2","rep_12","harvest",1.96673469387755,"penalty"
"1424",4,"L2","rep_12","harvest",0.82530612244898,"penalty"
"1425",5,"L2","rep_12","harvest",0.336122448979592,"penalty"
"1426",6,"L2","rep_12","harvest",0.01,"penalty"
"1427",7,"L2","rep_12","harvest",0.01,"penalty"
"1428",8,"L2","rep_12","harvest",0.336122448979592,"penalty"
"1429",9,"L2","rep_12","harvest",0.336122448979592,"penalty"
"1430",10,"L2","rep_12","harvest",0.662244897959184,"penalty"
"1431",11,"L2","rep_12","harvest",0.988367346938776,"penalty"
"1432",12,"L2","rep_12","harvest",0.499183673469388,"penalty"
"1433",13,"L2","rep_12","harvest",0.173061224489796,"penalty"
"1434",14,"L2","rep_12","harvest",0.173061224489796,"penalty"
"1435",15,"L2","rep_12","harvest",0.499183673469388,"penalty"
"1436",16,"L2","rep_12","harvest",0.82530612244898,"penalty"
"1437",17,"L2","rep_12","harvest",0.988367346938776,"penalty"
"1438",18,"L2","rep_12","harvest",2.29285714285714,"penalty"
"1439",19,"L2","rep_12","harvest",4.24959183673469,"penalty"
"1440",20,"L2","rep_12","harvest",0,"penalty"
"1441",1,"L2","rep_13","harvest",2.12979591836735,"penalty"
"1442",2,"L2","rep_13","harvest",2.61897959183673,"penalty"
"1443",3,"L2","rep_13","harvest",1.64061224489796,"penalty"
"1444",4,"L2","rep_13","harvest",2.29285714285714,"penalty"
"1445",5,"L2","rep_13","harvest",1.96673469387755,"penalty"
"1446",6,"L2","rep_13","harvest",2.12979591836735,"penalty"
"1447",7,"L2","rep_13","harvest",1.96673469387755,"penalty"
"1448",8,"L2","rep_13","harvest",2.29285714285714,"penalty"
"1449",9,"L2","rep_13","harvest",1.96673469387755,"penalty"
"1450",10,"L2","rep_13","harvest",0.988367346938776,"penalty"
"1451",11,"L2","rep_13","harvest",1.64061224489796,"penalty"
"1452",12,"L2","rep_13","harvest",0.82530612244898,"penalty"
"1453",13,"L2","rep_13","harvest",0.988367346938776,"penalty"
"1454",14,"L2","rep_13","harvest",0.173061224489796,"penalty"
"1455",15,"L2","rep_13","harvest",0.01,"penalty"
"1456",16,"L2","rep_13","harvest",0.173061224489796,"penalty"
"1457",17,"L2","rep_13","harvest",0.662244897959184,"penalty"
"1458",18,"L2","rep_13","harvest",2.29285714285714,"penalty"
"1459",19,"L2","rep_13","harvest",4.41265306122449,"penalty"
"1460",20,"L2","rep_13","harvest",0,"penalty"
"1461",1,"L2","rep_14","harvest",2.12979591836735,"penalty"
"1462",2,"L2","rep_14","harvest",1.47755102040816,"penalty"
"1463",3,"L2","rep_14","harvest",2.45591836734694,"penalty"
"1464",4,"L2","rep_14","harvest",3.76040816326531,"penalty"
"1465",5,"L2","rep_14","harvest",4.0865306122449,"penalty"
"1466",6,"L2","rep_14","harvest",2.29285714285714,"penalty"
"1467",7,"L2","rep_14","harvest",2.29285714285714,"penalty"
"1468",8,"L2","rep_14","harvest",1.47755102040816,"penalty"
"1469",9,"L2","rep_14","harvest",1.96673469387755,"penalty"
"1470",10,"L2","rep_14","harvest",1.31448979591837,"penalty"
"1471",11,"L2","rep_14","harvest",1.80367346938776,"penalty"
"1472",12,"L2","rep_14","harvest",1.15142857142857,"penalty"
"1473",13,"L2","rep_14","harvest",1.15142857142857,"penalty"
"1474",14,"L2","rep_14","harvest",1.64061224489796,"penalty"
"1475",15,"L2","rep_14","harvest",1.31448979591837,"penalty"
"1476",16,"L2","rep_14","harvest",1.47755102040816,"penalty"
"1477",17,"L2","rep_14","harvest",2.12979591836735,"penalty"
"1478",18,"L2","rep_14","harvest",3.76040816326531,"penalty"
"1479",19,"L2","rep_14","harvest",6.53244897959184,"penalty"
"1480",20,"L2","rep_14","harvest",0,"penalty"
"1481",1,"L2","rep_15","harvest",2.12979591836735,"penalty"
"1482",2,"L2","rep_15","harvest",2.29285714285714,"penalty"
"1483",3,"L2","rep_15","harvest",3.10816326530612,"penalty"
"1484",4,"L2","rep_15","harvest",1.96673469387755,"penalty"
"1485",5,"L2","rep_15","harvest",1.80367346938776,"penalty"
"1486",6,"L2","rep_15","harvest",1.80367346938776,"penalty"
"1487",7,"L2","rep_15","harvest",0.499183673469388,"penalty"
"1488",8,"L2","rep_15","harvest",0.662244897959184,"penalty"
"1489",9,"L2","rep_15","harvest",1.47755102040816,"penalty"
"1490",10,"L2","rep_15","harvest",1.31448979591837,"penalty"
"1491",11,"L2","rep_15","harvest",0.499183673469388,"penalty"
"1492",12,"L2","rep_15","harvest",1.15142857142857,"penalty"
"1493",13,"L2","rep_15","harvest",0.988367346938776,"penalty"
"1494",14,"L2","rep_15","harvest",1.15142857142857,"penalty"
"1495",15,"L2","rep_15","harvest",0.336122448979592,"penalty"
"1496",16,"L2","rep_15","harvest",1.47755102040816,"penalty"
"1497",17,"L2","rep_15","harvest",1.80367346938776,"penalty"
"1498",18,"L2","rep_15","harvest",2.12979591836735,"penalty"
"1499",19,"L2","rep_15","harvest",3.76040816326531,"penalty"
"1500",20,"L2","rep_15","harvest",0,"penalty"
